0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:34 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:34 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:37 +0800] "POST /LifeX/OtherUserDetails HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:37 +0800] "GET /LifeX/otherUserDetails.jsp HTTP/1.1" 200 5395
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:37 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:37 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:37 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:37 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:03:48 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:03:54 +0800] "POST /LifeX/OtherUserDetails HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:03:54 +0800] "POST /LifeX/OtherUserDetails HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:02 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 500 2627
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:03 +0800] "GET /LifeX/HomePage.jsp HTTP/1.1" 200 11905
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:03 +0800] "GET /LifeX/Login.jsp HTTP/1.1" 200 11905
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:05 +0800] "POST /LifeX/RedirectFriends HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:05 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:05 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:05 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:05 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:05 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:08 +0800] "POST /LifeX/OtherUserDetails HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:08 +0800] "GET /LifeX/otherUserDetails.jsp HTTP/1.1" 200 5395
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:08 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:08 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:08 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:08 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:30 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:31 +0800] "GET /LifeX/Login.jsp HTTP/1.1" 200 11905
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:32 +0800] "POST /LifeX/RedirectFriends HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:32 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:32 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:32 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:33 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:33 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:35 +0800] "POST /LifeX/OtherUserDetails HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:35 +0800] "GET /LifeX/otherUserDetails.jsp HTTP/1.1" 200 5395
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:35 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:35 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:35 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:04:35 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:08:13 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 500 2627
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:08:14 +0800] "GET /LifeX/Login.jsp HTTP/1.1" 200 11905
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:08:17 +0800] "POST /LifeX/RedirectFriends HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:08:17 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:08:17 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:08:17 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:08:17 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:08:17 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:08:20 +0800] "POST /LifeX/OtherUserDetails HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:08:20 +0800] "GET /LifeX/otherUserDetails.jsp HTTP/1.1" 500 2878
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:09:05 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:09:05 +0800] "GET /LifeX/Login.jsp HTTP/1.1" 200 11905
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:09:08 +0800] "POST /LifeX/RedirectFriends HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:09:08 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:09:08 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:09:08 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:09:08 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:09:08 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:09:11 +0800] "POST /LifeX/OtherUserDetails HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:09:11 +0800] "GET /LifeX/otherUserDetails.jsp HTTP/1.1" 200 5395
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:09:11 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:09:11 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:09:12 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:09:12 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:10:02 +0800] "GET /LifeX/RedirectHmPage HTTP/1.1" 200 11905
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:10:02 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:10:02 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:10:02 +0800] "GET /css/footerCSS.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:10:02 +0800] "GET /LifeX/css/images/hypnotize.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:10:02 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:10:03 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:10:03 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
